_id,name,slug,description,excerpt,price,tags[0],tags[1],thumbnail,images[0],images[1],images[2],createdAt,updatedAt
663af0e305b878228d9ced15,alas airfryer,alas_airfryer_663af0e305b878228d9ced15,"Alas airfryer ini terbuat dari bahan berkualitas tinggi yang tahan panas, memberikan perlindungan optimal saat memasak dengan airfryer Anda. Didesain untuk kompatibilitas dengan berbagai merek dan model airfryer, serta tersedia dalam berbagai ukuran yang sesuai. Keunggulannya meliputi kemampuan mencegah makanan menempel pada dasar airfryer, memudahkan proses pembersihan, dan mengurangi penumpukan lemak. Dilengkapi dengan ketahanan panas yang baik untuk penggunaan yang aman, serta petunjuk perawatan yang mudah untuk menjaga kebersihan dan kualitasnya. Desainnya yang menarik dan fungsional membuatnya menjadi aksesori yang sempurna untuk airfryer Anda. Ditambah dengan testimoni positif dari pengguna sebelumnya, produk ini menjadi pilihan yang baik untuk meningkatkan pengalaman memasak Anda dengan airfryer.",alas airfryer yang bagus dan mudah untuk di pakai,50000,alas,cookware,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129012/sample%20c2p3/dbAsset/alas%20airfryer/d9cifoat2itjzrfnv3eg.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129011/sample%20c2p3/dbAsset/alas%20airfryer/ix5u0tbndnrgsiej550l.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129011/sample%20c2p3/dbAsset/alas%20airfryer/xxruihkihr7lkcyaxmib.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129011/sample%20c2p3/dbAsset/alas%20airfryer/uuicocaiooxmeuhsuy7m.jpg,2024-05-8T12:00:52.772Z,2024-05-8T12:00:52.772Z
663af3a205b878228d9ced17,alas panci,alas_panci_663af0e305b878228d9ced15,"Dapatkan perlindungan maksimal untuk meja dapur Anda dengan Alas Panci Anti Panas kami. Dirancang dengan bahan kualitas tinggi yang tahan panas, alas panci kami melindungi permukaan meja Anda dari kerusakan akibat panas yang dihasilkan oleh panci atau wajan yang baru saja diangkat dari kompor. Terbuat dari silikon berkualitas tinggi yang tahan panas, desainnya ringan dan mudah untuk dipindahkan. Dilengkapi dengan tekstur anti-selip untuk mencegah panci atau wajan bergeser saat diletakkan di atasnya, serta tersedia dalam berbagai warna yang menarik dan modern untuk menambah sentuhan gaya pada dapur Anda. Dengan Alas Panci Anti Panas kami, Anda dapat memasak dengan lebih aman dan nyaman, tanpa khawatir merusak permukaan meja atau kompor Anda. Sempurna untuk setiap rumah tangga yang peduli akan keamanan dan estetika dapur mereka",alas panci yang bagus dan mudah untuk di pakai dan tidak mudah kotor,100000,alasan,cookware,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129013/sample%20c2p3/dbAsset/alas%20panci/juu312iomalvtdiw6r3y.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129012/sample%20c2p3/dbAsset/alas%20panci/fwhhlr442ovfmjjvr03u.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129011/sample%20c2p3/dbAsset/alas%20panci/fdqjxjaeryftdssqdzye.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129011/sample%20c2p3/dbAsset/alas%20panci/m68wgxdg7ltnwtysa7s8.jpg,2024-05-8T12:01:52.772Z,2024-05-8T12:01:52.772Z
663af53405b878228d9ced18,asus vivobook,asus_vivobook_663af53405b878228d9ced18,"Rasakan keseimbangan sempurna antara kinerja dan gaya dengan Asus VivoBook, laptop inovatif yang menggabungkan desain elegan dengan kecanggihan teknologi. Didesain untuk memenuhi kebutuhan pengguna modern, Asus VivoBook menampilkan desain yang ramping dan ringan, ideal untuk mobilitas sehari-hari. Dengan prosesor canggih dan RAM yang besar, VivoBook menawarkan kinerja yang tangguh untuk multitasking tanpa hambatan, mulai dari menjalankan aplikasi produktivitas hingga menikmati konten multimedia berkualitas tinggi. Layar Full HD yang cerah dan tajam memberikan pengalaman visual yang memukau, sementara suara yang ditingkatkan oleh teknologi audio terbaru membenamkan Anda dalam pengalaman mendengarkan yang mengesankan. Dilengkapi dengan berbagai fitur tambahan seperti keyboard yang ergonomis dan konektivitas yang luas, Asus VivoBook adalah pilihan sempurna bagi mereka yang menginginkan laptop yang andal, stylish, dan serbaguna untuk kebutuhan sehari-hari mereka.",laptop yang canggih dan ringan untuk di pakai oleh semua orang dan terkenal oleh semua orang karena ringan,1000000,technology,asus,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129014/sample%20c2p3/dbAsset/asus%20vivobook/iciyjhad4t4z15xpvpuq.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129014/sample%20c2p3/dbAsset/asus%20vivobook/pg8owmfrwk9l7pbtgsra.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129013/sample%20c2p3/dbAsset/asus%20vivobook/pzajkfnyvztsfclha1ai.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129013/sample%20c2p3/dbAsset/asus%20vivobook/qfzvg5u64ibidylutn9v.jpg,2024-05-8T12:02:52.772Z,2024-05-8T12:02:52.772Z
663af77505b878228d9ced1c,box_uang,box_uang_663af77505b878228d9ced1c,"Dapatkan keamanan untuk uang Anda dengan Box Uang kami. Dirancang untuk memenuhi kebutuhan penyimpanan uang dengan aman dan efisien, box ini menawarkan desain yang kokoh dan cantik, cocok untuk digunakan di rumah. Terbuat dari bahan berkualitas tinggi yang tahan lama, box ini dilengkapi dengan kunci yang kokoh untuk memberikan perlindungan tambahan terhadap pencurian atau akses tidak sah. Dengan ruang penyimpanan yang cukup dan terorganisir dengan baik, Anda dapat dengan mudah menyimpan dan mengatur uang kertas, koin, atau barang berharga lainnya dengan rapi dan teratur. Desainnya yang elegan dan minimalis juga akan menambah sentuhan gaya pada ruang penyimpanan Anda. Dengan Box Uang kami, Anda dapat memiliki ketenangan pikiran dan keamanan dalam menyimpan dan mengelola kekayaan Anda.",box uang yang cantik dan terjangkau,40000,decoration,savings,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129015/sample%20c2p3/dbAsset/Box%20uang/kopolvdpc15d5hsy6rgz.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129015/sample%20c2p3/dbAsset/Box%20uang/vuiwvohkv7ryres6d4gm.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129015/sample%20c2p3/dbAsset/Box%20uang/rfwpzd9vy30knz9zofol.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129014/sample%20c2p3/dbAsset/Box%20uang/nettxqt7hznk2xody13g.jpg,2024-05-8T12:03:52.772Z,2024-05-8T12:03:52.772Z
663af8d95cf792a43e4a388f,car polisher,car_polisher_663af8d95cf792a43e4a388f,"Dapatkan hasil poles profesional di kenyamanan rumah Anda sendiri dengan Car Polisher kami. Dirancang untuk memberikan kilau yang mengesankan pada mobil Anda, alat ini dilengkapi dengan fitur-fitur canggih untuk hasil yang luar biasa. Dengan motor yang kuat dan putaran yang dapat disesuaikan, Car Polisher kami memberikan kontrol yang presisi untuk menghasilkan hasil yang mulus dan berkilau. Didesain ergonomis dengan pegangan yang nyaman, Anda dapat dengan mudah mengoperasikan alat ini tanpa lelah. Dilengkapi dengan berbagai lampu indikator dan fitur keamanan, Anda dapat mengoperasikan Car Polisher dengan percaya diri dan aman. Dengan Car Polisher kami, Anda bisa memberikan sentuhan akhir yang sempurna pada mobil Anda, meningkatkan tampilan keseluruhan dan meningkatkan nilai estetika kendaraan Anda.",polish mobil menjadi lebih mudah dan lebih baik,30000,technology,car cleaner,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129016/sample%20c2p3/dbAsset/car%20polisher/htqrwiskgwqzazzqeown.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129015/sample%20c2p3/dbAsset/car%20polisher/gucecyplok5mklnftgfw.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129012/sample%20c2p3/dbAsset/car%20polisher/l9qmkz5sr72fwwdrfafr.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129011/sample%20c2p3/dbAsset/car%20polisher/ppnwlwdu4xkdeoktwld8.jpg,2024-05-8T12:04:52.772Z,2024-05-8T12:04:52.772Z
663afa205cf792a43e4a3890,case iphone 15,case_iphone_15_663afa205cf792a43e4a3890,"Pelindung sempurna untuk iPhone 15 Anda, kasus ini tidak hanya menambahkan lapisan perlindungan ekstra terhadap goresan dan benturan, tetapi juga memberikan sentuhan gaya yang elegan. Dirancang khusus untuk iPhone 15, kasus ini presisi dipotong untuk memastikan semua tombol dan port tetap dapat diakses dengan mudah. Terbuat dari bahan berkualitas tinggi yang tahan lama, kasus ini memberikan perlindungan yang andal tanpa menambahkan bulk yang tidak perlu. Dengan desain yang ramping dan ringan, Anda dapat dengan nyaman membawa iPhone 15 Anda di saku Anda atau tas tanpa khawatir tentang penambahan berat yang signifikan. Tersedia dalam berbagai warna dan gaya, kasus ini memungkinkan Anda mengekspresikan kepribadian Anda sambil menjaga iPhone 15 Anda tetap aman dan terlindungi setiap saat.",case iphone 15 terbaru dan lebih aman,70000,technology,casing,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129014/sample%20c2p3/dbAsset/case%20iphone%2015/emgnpk8g65jw7zxq1ily.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129013/sample%20c2p3/dbAsset/case%20iphone%2015/qzwktajaetykytym3um1.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129013/sample%20c2p3/dbAsset/case%20iphone%2015/ygkpae2aefaob9whnvqr.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129013/sample%20c2p3/dbAsset/case%20iphone%2015/hdnez8b5c4tpseo4lps1.jpg,2024-05-8T12:05:52.772Z,2024-05-8T12:05:52.772Z
663afb855cf792a43e4a3891,chest strap handphone,case_iphone_15_663afb855cf792a43e4a3891,"Bebaskan tangan Anda dan nikmati kenyamanan maksimal saat Anda berlari, bersepeda, atau melakukan kegiatan fisik lainnya dengan chest strap handphone kami. Dirancang untuk memberikan solusi praktis untuk membawa handphone Anda saat bergerak, chest strap ini menawarkan kenyamanan dan keamanan yang tak tertandingi. Terbuat dari bahan berkualitas tinggi yang tahan lama dan ringan, chest strap ini memberikan penyangga yang stabil dan nyaman di dada Anda tanpa mengganggu gerakan. Dengan desain yang dapat disesuaikan, Anda dapat menyesuaikan strap agar pas dengan tubuh Anda untuk pengalaman yang sesuai dengan kebutuhan Anda. Dengan slot khusus yang dirancang untuk menempatkan handphone dengan aman, Anda dapat dengan mudah mengakses layar handphone Anda untuk melihat peta, memutar musik, atau menerima panggilan tanpa harus mengganggu kegiatan Anda. Sempurna untuk penggemar olahraga dan petualang yang ingin tetap terhubung tanpa harus mengorbankan kenyamanan atau keamanan.",chest strap handphone model terbaru enteng dan mudah di pakai,90000,technology,gadget,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129015/sample%20c2p3/dbAsset/chest%20strap%20handphone/y6n1o8effdsdukbyhryo.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129014/sample%20c2p3/dbAsset/chest%20strap%20handphone/ybkzvc9lepfz9rrr19ow.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129015/sample%20c2p3/dbAsset/chest%20strap%20handphone/eipjgw1ipoqrm1nggvut.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129014/sample%20c2p3/dbAsset/chest%20strap%20handphone/u17aevtcudxtre2nshco.jpg,2024-05-8T12:06:52.772Z,2024-05-8T12:06:52.772Z
663afd635cf792a43e4a3893,cubic air fryer,cubic_air_fryer_663afd635cf792a43e4a3893,"Selamatkan waktu dan nikmati hidangan yang sehat dan lezat dengan Cubic Air Fryer kami. Dirancang untuk memenuhi kebutuhan memasak Anda dengan mudah dan cepat, air fryer ini menawarkan pengalaman memasak yang praktis dan efisien. Dengan teknologi penggorengan udara yang canggih, Cubic Air Fryer memungkinkan Anda menggoreng makanan favorit Anda dengan sedikit atau tanpa minyak, menghasilkan hasil yang renyah di luar dan lembut di dalam tanpa tambahan lemak yang berlebihan. Didesain dengan kontrol suhu yang mudah diatur dan timer digital, Anda dapat memasak berbagai jenis makanan dengan sempurna sesuai dengan preferensi Anda. Dengan kapasitas yang luas, Anda dapat memasak untuk keluarga besar atau hanya untuk diri sendiri dengan mudah. Dengan desain yang kompak dan stylish, Cubic Air Fryer juga akan menambah sentuhan modern pada dapur Anda. Sempurna untuk para koki rumahan yang sibuk dan pencinta makanan yang peduli akan kesehatan dan kualitas makanan mereka.","cubic air fryer, with the latest model lebih praktis dan efesien",200000,technology,cookware,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129016/sample%20c2p3/dbAsset/cubic%20air%20fryer/hlw8tbo4b7t3ugpq6bpx.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129016/sample%20c2p3/dbAsset/cubic%20air%20fryer/erxkwcj3xrcypb3661cx.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129016/sample%20c2p3/dbAsset/cubic%20air%20fryer/e4w5f7mnn2kcnpejkg9f.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129016/sample%20c2p3/dbAsset/cubic%20air%20fryer/oywijalkvprt8ylkrfwv.jpg,2024-05-8T12:07:52.772Z,2024-05-8T12:07:52.772Z
663afd8f5cf792a43e4a3894,dompet pria,dompet_pria_663afd8f5cf792a43e4a3894,"Bawa gaya dan fungsionalitas ke saku Anda dengan dompet pria kami. Dirancang untuk memenuhi kebutuhan sehari-hari pria yang modern, dompet ini menggabungkan desain yang elegan dengan kualitas bahan yang luar biasa. Terbuat dari bahan kulit berkualitas tinggi yang tahan lama, dompet ini tidak hanya menampilkan tampilan yang mewah, tetapi juga memberikan ketahanan yang tahan lama terhadap penggunaan sehari-hari. Dengan berbagai slot dan kantong yang disusun dengan baik, Anda dapat menyimpan uang tunai, kartu kredit, kartu identitas, dan kartu lainnya dengan teratur dan aman. Desainnya yang ramping membuatnya nyaman untuk dibawa di saku celana atau jas Anda tanpa menambah bulk yang tidak diinginkan. Dengan sentuhan akhir yang halus dan detail yang cermat, dompet pria kami adalah aksesori yang sempurna untuk menambahkan sentuhan gaya yang elegan pada penampilan sehari-hari Anda.",dompet pria berfashion terbaru dan mudah di pakai,50000,fashion,male fashion,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129017/sample%20c2p3/dbAsset/dompet%20pria/v6fnow0to3zdz0dfxk5d.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129017/sample%20c2p3/dbAsset/dompet%20pria/v6fnow0to3zdz0dfxk5d.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129017/sample%20c2p3/dbAsset/dompet%20pria/ynfmgczj3mo7z6ozw3de.jpg,https://res.cloudinary.com/dghilbqdk/image/upload/v1715129016/sample%20c2p3/dbAsset/dompet%20pria/kelxaicxpfeuqdctzgkj.jpg,2024-05-8T12:08:52.772Z,2024-05-8T12:08:52.772Z
